No.,Component Type,Performance Group Quantity,Quantity Dispersion,Fragility Correlated,Population Model,Demand Parameters,Dir,Floor Num
B2022.001,,58.609500000000004,0.6,FALSE,,,1,12.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,12.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,12.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,12.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,12.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,12.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,12.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,12.0
C3032.001a,,2.34438,0.0,FALSE,,,3,12.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,12.0
D3041.011a,,0.586095,0.6,FALSE,,,3,12.0
D3041.031a,,9.37752,0.4,FALSE,,,3,12.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,12.0
D4011.021a,,2.578818,0.1,FALSE,,,3,12.0
D4011.031a,,1.406628,0.1,FALSE,,,3,12.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,11.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,11.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,11.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,11.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,11.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,11.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,11.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,11.0
C3032.001a,,2.34438,0.0,FALSE,,,3,11.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,11.0
D3041.011a,,0.586095,0.6,FALSE,,,3,11.0
D3041.031a,,9.37752,0.4,FALSE,,,3,11.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,11.0
D4011.021a,,2.578818,0.1,FALSE,,,3,11.0
D4011.031a,,1.406628,0.1,FALSE,,,3,11.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,10.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,10.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,10.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,10.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,10.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,10.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,10.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,10.0
C3032.001a,,2.34438,0.0,FALSE,,,3,10.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,10.0
D3041.011a,,0.586095,0.6,FALSE,,,3,10.0
D3041.031a,,9.37752,0.4,FALSE,,,3,10.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,10.0
D4011.021a,,2.578818,0.1,FALSE,,,3,10.0
D4011.031a,,1.406628,0.1,FALSE,,,3,10.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,9.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,9.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,9.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,9.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,9.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,9.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,9.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,9.0
C3032.001a,,2.34438,0.0,FALSE,,,3,9.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,9.0
D3041.011a,,0.586095,0.6,FALSE,,,3,9.0
D3041.031a,,9.37752,0.4,FALSE,,,3,9.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,9.0
D4011.021a,,2.578818,0.1,FALSE,,,3,9.0
D4011.031a,,1.406628,0.1,FALSE,,,3,9.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,8.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,8.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,8.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,8.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,8.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,8.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,8.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,8.0
C3032.001a,,2.34438,0.0,FALSE,,,3,8.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,8.0
D3041.011a,,0.586095,0.6,FALSE,,,3,8.0
D3041.031a,,9.37752,0.4,FALSE,,,3,8.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,8.0
D4011.021a,,2.578818,0.1,FALSE,,,3,8.0
D4011.031a,,1.406628,0.1,FALSE,,,3,8.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,7.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,7.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,7.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,7.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,7.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,7.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,7.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,7.0
C3032.001a,,2.34438,0.0,FALSE,,,3,7.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,7.0
D3041.011a,,0.586095,0.6,FALSE,,,3,7.0
D3041.031a,,9.37752,0.4,FALSE,,,3,7.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,7.0
D4011.021a,,2.578818,0.1,FALSE,,,3,7.0
D4011.031a,,1.406628,0.1,FALSE,,,3,7.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,6.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,6.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,6.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,6.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,6.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,6.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,6.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,6.0
C3032.001a,,2.34438,0.0,FALSE,,,3,6.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,6.0
D3041.011a,,0.586095,0.6,FALSE,,,3,6.0
D3041.031a,,9.37752,0.4,FALSE,,,3,6.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,6.0
D4011.021a,,2.578818,0.1,FALSE,,,3,6.0
D4011.031a,,1.406628,0.1,FALSE,,,3,6.0
B2022.001,,58.609500000000004,0.6,FALSE,,,1,5.0
B2022.001,,58.609500000000004,0.6,FALSE,,,2,5.0
B3011.011,,37.510079999999995,0.9,FALSE,,,3,5.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,1,5.0
C1011.001a,,14.066279999999999,0.3,FALSE,,,2,5.0
C3011.001a,,4.47307704,0.4,FALSE,,,1,5.0
C3011.001a,,4.47307704,0.4,FALSE,,,2,5.0
C3032.001a,,44.54321999999999,0.0,FALSE,,,3,5.0
C3032.001a,,2.34438,0.0,FALSE,,,3,5.0
D2021.011a,,1.2425214,0.4,FALSE,,,3,5.0
D3041.011a,,0.586095,0.6,FALSE,,,3,5.0
D3041.031a,,9.37752,0.4,FALSE,,,3,5.0
D3041.041a,,4.68876,p90 low,FALSE,,,3,5.0
D4011.021a,,2.578818,0.1,FALSE,,,3,5.0
D4011.031a,,1.406628,0.1,FALSE,,,3,5.0
